Country,Clicks,Impressions,CTR,Position
United States,2493,24289,10.26%,8.39
Canada,734,4541,16.16%,6.45
India,393,4154,9.46%,7.6
Australia,273,2410,11.33%,9.22
Hong Kong,201,802,25.06%,5.15
New Zealand,153,895,17.09%,6.67
United Kingdom,142,5533,2.57%,10.94
Greece,83,495,16.77%,5.01
Poland,79,965,8.19%,8.42
Singapore,71,454,15.64%,6.4
Sweden,67,592,11.32%,6.23
Spain,62,742,8.36%,8.16
South Africa,62,724,8.56%,8.11
Indonesia,53,765,6.93%,9.04
Japan,52,426,12.21%,6.54
Turkey,48,1105,4.34%,7.61
France,46,1057,4.35%,9.23
Thailand,45,376,11.97%,7.86
Italy,44,897,4.91%,7.91
Netherlands,40,763,5.24%,7.28
Taiwan,40,439,9.11%,6.92
Norway,31,377,8.22%,5.31
Russia,29,396,7.32%,12.05
Israel,29,373,7.77%,8.19
Ireland,26,715,3.64%,7.93
Germany,26,657,3.96%,7.06
Mexico,26,312,8.33%,11.55
Romania,26,291,8.93%,5.55
Argentina,23,378,6.08%,10.96
Switzerland,22,172,12.79%,6.12
Finland,20,195,10.26%,5.64
Chile,19,193,9.84%,10.22
Bulgaria,18,348,5.17%,7
Hungary,16,229,6.99%,7.03
South Korea,15,224,6.7%,10.56
Pakistan,13,485,2.68%,7.87
Belgium,13,195,6.67%,7.12
Croatia,11,190,5.79%,4.82
Denmark,10,247,4.05%,5.45
Portugal,10,153,6.54%,6.41
Austria,10,131,7.63%,6.37
China,9,91,9.89%,8.54
Czechia,8,139,5.76%,6.18
Montenegro,8,40,20%,6.95
Georgia,7,61,11.48%,6.18
Uruguay,7,50,14%,7.9
Estonia,6,82,7.32%,5.55
Iceland,6,80,7.5%,5.72
Sri Lanka,6,49,12.24%,6.94
Brazil,5,797,0.63%,19.75
Philippines,5,392,1.28%,10.95
Bangladesh,5,172,2.91%,12.21
Ukraine,5,136,3.68%,13.02
Oman,5,30,16.67%,6.2
Egypt,4,102,3.92%,11.25
Slovakia,4,82,4.88%,7.38
Slovenia,4,73,5.48%,3.37
Iran,4,45,8.89%,8.73
Cyprus,4,34,11.76%,5.82
Dominican Republic,4,34,11.76%,12.29
Uganda,4,25,16%,6.28
Costa Rica,3,3181,0.09%,9.39
Ecuador,3,221,1.36%,8.43
Malaysia,3,166,1.81%,10.59
Kazakhstan,3,29,10.34%,15.14
Latvia,3,20,15%,9.15
Luxembourg,3,18,16.67%,5.33
Barbados,3,15,20%,12.47
Colombia,2,198,1.01%,9.65
Saudi Arabia,2,131,1.53%,9.64
Lithuania,2,92,2.17%,4.84
United Arab Emirates,2,86,2.33%,8
Ethiopia,2,70,2.86%,8.8
Kenya,2,68,2.94%,8.66
Serbia,2,51,3.92%,8.14
Trinidad & Tobago,2,40,5%,12.47
Belarus,2,35,5.71%,9.46
Unknown Region,2,21,9.52%,14.62
Algeria,1,229,0.44%,11.1
Morocco,1,88,1.14%,12.01
Peru,1,66,1.52%,11.85
Venezuela,1,61,1.64%,12.48
Panama,1,40,2.5%,6.12
Kuwait,1,24,4.17%,7.5
Armenia,1,22,4.55%,7.41
Zambia,1,18,5.56%,5.06
Ghana,1,17,5.88%,8.71
Bahrain,1,16,6.25%,12.31
Cambodia,1,14,7.14%,7.14
Bahamas,1,11,9.09%,7.45
Botswana,1,6,16.67%,5.67
Namibia,1,6,16.67%,7.83
Syria,1,5,20%,13.4
Aruba,1,4,25%,3.75
Cayman Islands,1,3,33.33%,5.33
Malawi,1,3,33.33%,10.33
Falkland Islands (Islas Malvinas),1,1,100%,1
Vietnam,0,325,0%,19.81
Nigeria,0,121,0%,9.92
Iraq,0,45,0%,18.44
Tunisia,0,38,0%,11.45
Jordan,0,37,0%,18.84
Nepal,0,30,0%,14.97
Azerbaijan,0,29,0%,11.45
Lebanon,0,26,0%,8.31
Uzbekistan,0,26,0%,12.58
Chad,0,25,0%,6.52
Tanzania,0,24,0%,7.5
Honduras,0,23,0%,11
Bosnia & Herzegovina,0,23,0%,11.48
Bolivia,0,22,0%,9.41
Puerto Rico,0,22,0%,12.55
Albania,0,21,0%,12.95
Zimbabwe,0,19,0%,7.37
Guatemala,0,19,0%,13.63
Jamaica,0,19,0%,15.21
Gabon,0,15,0%,8.53
Malta,0,13,0%,5.46
Libya,0,13,0%,8.77
Mongolia,0,12,0%,6.42
Qatar,0,11,0%,6.55
Bermuda,0,11,0%,8.36
Afghanistan,0,10,0%,6.3
Mauritius,0,10,0%,8.2
Jersey,0,9,0%,5.89
Sierra Leone,0,9,0%,6.44
Cameroon,0,9,0%,8.78
Palestine,0,9,0%,10.56
Congo - Kinshasa,0,9,0%,14.11
Paraguay,0,9,0%,26.78
Turkmenistan,0,8,0%,6.5
Rwanda,0,8,0%,8.5
Martinique,0,8,0%,9.62
Kyrgyzstan,0,7,0%,4.86
