Top pages,Clicks,Impressions,CTR,Position
http://www.saycbridge.com/,5508,66094,8.33%,8.31
"http://www.saycbridge.com/bid/13-8415fab0e7e28874f7549bc26c:P,1H",86,1962,4.38%,4.32
http://www.saycbridge.com/bid/16-8f9864a1cb11d31cb6ebc4b5d2,43,1346,3.19%,6.99
"http://www.saycbridge.com/bid/3-18d3f271a616b0b2b65f9104fe:1D,X,P,1N,P,P,P",42,1568,2.68%,4.53
http://www.saycbridge.com/bid/6-4d14d89aaca87710352d8dfbb3,37,805,4.6%,8.64
http://www.saycbridge.com/bid/14-cba3f2e219494fc934dc593a25:1S,25,772,3.24%,7.64
http://www.saycbridge.com/bid/8-a5eb60077c9d48b1fb61d08cad,17,678,2.51%,11.7
http://www.saycbridge.com/scoring,15,979,1.53%,26.28
http://www.saycbridge.com/bid/10-4bb5b8d20aa6e2f0d4dd1137c6,4,265,1.51%,11.44
http://www.saycbridge.com/bid/,2,14,14.29%,1.21
"http://www.saycbridge.com/bid/16-ea88964ef4ef105507107d8fae:P,2H,P,3C,P,3N,P,4C,P,4H,P,5C,P,5H,P,6C,P,P,P",0,182,0%,20.6
http://www.saycbridge.com/bidder,0,7,0%,5.14
"http://www.saycbridge.com/bid/9-4e83ce0bb1b85135649d18fe6e:P,1H",0,3,0%,6.33
http://www.saycbridge.com/bid/2-0db75ee46c04b0ab61ed7e8721:P,0,2,0%,7
